line_no,value_date,narration,ref_no,debit,credit,balance
1,2026-07-05,NEFT CR RAZORPAY SOFTWARE PVT LTD CONSOLIDATED PAYOUT,28593004,,37247.54,2487247.54
2,2026-07-07,NEFT CR RAZORPAY SOFTWARE PVT LTD CONSOLIDATED PAYOUT,85189915,,40400.47,2527648.01
3,2026-07-07,RTGS KKBKN260707745359 RAZORPAY SOFTWARE PRIVATE LIMITED,07745359,,15942.21,2543590.22
4,2026-07-07,SALARY PAYOUT AUG BATCH 1,40751440,8936.54,,2534653.68
5,2026-07-09,neft-kkbkn260709833708-razorpay software pvt ltd-axis0005406,09833708,,12363.63,2547017.31
6,2026-07-11,ACH/C/AXISN260711114011/RAZORPAY SOFTWARE,11114011,,18180.01,2565197.32
7,2026-07-11,NEFT CR AXISN260710292243 RAZORPAY SOFTWARE  PVT  LTD,10292243,,8877.76,2574075.08
8,2026-07-11,RTGS-KKBKN260711533437-PRABHAT PRNTRS-PMT AGST BILL,31685929,,3350.80,2577425.88
9,2026-07-12,INT.PD:12345678:01-08-2026 TO 31-08-2026,52005675,,9667.90,2587093.78
10,2026-07-12,MB:NEFT CR-AXISN260712707695-RAZORPAY-SETTLEMENT,12707695,,1884.15,2588977.93
11,2026-07-12,NEFT-ICICN260712244237-ANAND TRADERS-DIRECT,99516433,,2047.16,2591025.09
12,2026-07-13,MB:NEFT CR-AXISN260712707695-RAZORPAY-SETTLEMENT PART 2,12707695,,2826.23,2593851.32
13,2026-07-13,RTGS-SBIN0260713844405-MERIDIAN LBS-PMT AGST BILL,34281896,,7788.77,2601640.09
14,2026-07-14,IMPS/ICICN260713639127/RAZORPAYSOFT/SETTLEMENT,13639127,,15461.67,2617101.76
15,2026-07-15,MB:NEFT CR-AXISN260714986167-RAZORPAY-SETTLEMENT,14986167,,4196.34,2621298.10
16,2026-07-16,ACH/C/SBIN0260715168948/RAZORPAY SOFTWARE,15168948,,10418.40,2631716.50
17,2026-07-16,RENT-UNIT 402 SKYVIEW-MAR,88402260,8908.23,,2622808.27
18,2026-07-17,MB:NEFT CR-HDFCN260717855545-RAZORPAY-SETTLEMENT,17855545,,14517.62,2637325.89
19,2026-07-17,RTGS ICICN260716699100 RAZORPAY SOFTWARE PRIVATE LIMITED,16699100,,41182.06,2678507.95
20,2026-07-18,MB:NEFT CR-KKBKN260718519995-RAZORPAY-SETTLEMENT,18519995,,15074.00,2693581.95
21,2026-07-20,NEFT CR KKBKN260720982508 RAZORPAY SOFTWARE  PVT  LTD,20982508,,16969.08,2710551.03
22,2026-07-20,ach/c/icicn260719844352/razorpay software,19844352,,7839.59,2718390.62
23,2026-07-21,NEFT CR AXISN260721601680 RAZORPAY SOFTWARE  PVT  LTD,21601680,,1504.13,2719894.75
24,2026-07-21,ach/c/icicn260719844352/razorpay software,19844352,,6414.21,2726308.96
25,2026-07-22,ACH/C/KKBKN260722311944/RAZORPAY SOFTWARE,22311944,,1141.77,2727450.73
26,2026-07-23,RTGS SBIN0260723365068 RAZORPAY SOFTWARE PRIVATE LIMITED,23365068,,2424.93,2729875.66
27,2026-07-24,NACH DR ICICI PRU LIFE PREMIUM,60154839,16188.64,,2713687.02
28,2026-07-24,RTGS ICICN260724431605 RAZORPAY SOFTWARE PRIVATE LIMITED,24431605,,31789.79,2745476.81
29,2026-07-25,RTGS SBIN0260725478478 RAZORPAY SOFTWARE PRIVATE LIMITED,25478478,,7821.63,2753298.44
30,2026-07-26,MB:NEFT CR-ICICN260726723502-RAZORPAY-SETTLEMENT,26723502,,8460.22,2761758.66
31,2026-07-27,MB:NEFT CR-KKBKN260727840714-RAZORPAY-SETTLEMENT,27840714,,17665.41,2779424.07
32,2026-07-27,NEFT-CITIN25081200099-ANAND TRADERS-DIRECT,86892032,,5929.95,2785354.02
33,2026-07-28,IMPS/AXISN260728327302/RAZORPAYSOFT/SETTLEMENT,28327302,,20402.61,2805756.63
34,2026-07-28,VENDOR PMT MEHTA STEEL LLP,33949180,6974.89,,2798781.74
35,2026-07-29,imps/hdfcn260729758214/razorpaysoft/settlement,29758214,,7377.67,2806159.41
36,2026-07-31,RTGS-AXISN260731747550-EVEREST LGSTCS-PMT AGST BILL,58777458,,6434.85,2812594.26
37,2026-08-01,GST PMT-06 CHALLAN 24081,86287851,4422.82,,2808171.44
38,2026-08-01,NEFT CR AXISN260801282728 RAZORPAY SOFTWARE  PVT  LTD,01282728,,23645.77,2831817.21
39,2026-08-02,CHQ PAID-004512,89448703,16182.86,,2815634.35
40,2026-08-03,NEFT CR KKBKN260802211485 RAZORPAY SOFTWARE  PVT  LTD,02211485,,23470.35,2839104.70
41,2026-08-03,NEFT-SBIN0260803143610-RAZORPAY SOFTWARE PVT LTD-KKBK0001412,03143610,,15644.97,2854749.67
42,2026-08-04,IMPS/KKBKN260804891036/RAZORPAYSOFT/SETTLEMENT,04891036,,14073.57,2868823.24
43,2026-08-04,RENT-UNIT 402 SKYVIEW-MAR,24407929,7966.99,,2860856.25
44,2026-08-05,NEFT-KKBKN260805854026-PRABHAT PRINTERS-DIRECT,18526311,,5003.96,2865860.21
45,2026-08-05,RTGS ICICN260805376886 RAZORPAY SOFTWARE PRIVATE LIMITED,05376886,,15783.57,2881643.78
46,2026-08-05,SALARY PAYOUT AUG BATCH 1,87715422,3070.29,,2878573.49
47,2026-08-07,IMPS/KKBKN260807906235/RAZORPAYSOFT/SETTLEMENT,07906235,,10781.19,2889354.68
48,2026-08-07,NEFT CR AXISN260806485862 RAZORPAY SOFTWARE  PVT  LTD,06485862,,14295.59,2903650.27
49,2026-08-07,TERM LOAN DISBURSAL TL-99321,66728391,,6876.63,2910526.90
50,2026-08-08,CHQ PAID-004512,70647722,,5239.36,2915766.26
51,2026-08-08,NEFT-AXISN260808597259-RAZORPAY SOFTWARE PVT LTD-AXIS0009187,08597259,,8134.78,2923901.04
52,2026-08-09,mb:neft cr-hdfcn260809358365-razorpay-settlement,09358365,,6792.19,2930693.23
53,2026-08-10,neft cr icicn260810333918 razorpay software  pvt  ltd,10333918,,9726.08,2940419.31
54,2026-08-11,UPI/DR/558712330091/SWIGGY/OFFICE MEALS,57943619,9205.22,,2931214.09
55,2026-08-12,MB:NEFT CR-SBIN0260812945715-RAZORPAY-SETTLEMENT,12945715,,8702.78,2939916.87
56,2026-08-12,TERM LOAN DISBURSAL TL-99321,65404711,,5819.78,2945736.65
57,2026-08-13,IMPS/KKBKN260813944541/RAZORPAYSOFT/SETTLEMENT,13944541,,25304.32,2971040.97
58,2026-08-13,INT.PD:12345678:01-08-2026 TO 31-08-2026,45093259,,6488.54,2977529.51
59,2026-08-13,NEFT-CITIN25081200099-ANAND TRADERS-DIRECT,74133746,,9684.65,2987214.16
60,2026-08-14,ACH/C/HDFCN260814304429/RAZORPAY SOFTWARE,14304429,,31355.07,3018569.23
