src,dst,rate,as_of,source
EUR,INR,89.5596,2026-07-01,RBI reference
EUR,INR,90.5842,2026-07-04,RBI reference
EUR,INR,89.6204,2026-07-07,RBI reference
EUR,INR,89.9179,2026-07-10,RBI reference
EUR,INR,90.2497,2026-07-13,RBI reference
EUR,INR,89.8255,2026-07-16,RBI reference
EUR,INR,90.7264,2026-07-19,RBI reference
EUR,INR,91.4459,2026-07-22,RBI reference
EUR,INR,92.3192,2026-07-25,RBI reference
EUR,INR,92.8085,2026-07-28,RBI reference
EUR,INR,91.7412,2026-07-31,RBI reference
EUR,INR,92.4990,2026-08-03,RBI reference
EUR,INR,93.4397,2026-08-06,RBI reference
EUR,INR,92.5343,2026-08-09,RBI reference
EUR,INR,92.7666,2026-08-12,RBI reference
EUR,INR,91.7360,2026-08-15,RBI reference
EUR,INR,92.2571,2026-08-18,RBI reference
EUR,INR,91.9988,2026-08-21,RBI reference
EUR,INR,92.2720,2026-08-24,RBI reference
EUR,INR,91.5043,2026-08-27,RBI reference
EUR,INR,91.7395,2026-08-30,RBI reference
EUR,INR,92.2578,2026-09-02,RBI reference
EUR,INR,93.0687,2026-09-05,RBI reference
EUR,INR,93.3004,2026-09-08,RBI reference
USD,INR,83.9235,2026-07-01,RBI reference
USD,INR,83.7229,2026-07-04,RBI reference
USD,INR,83.1687,2026-07-07,RBI reference
USD,INR,83.2386,2026-07-10,RBI reference
USD,INR,83.0721,2026-07-13,RBI reference
USD,INR,82.7780,2026-07-16,RBI reference
USD,INR,82.2060,2026-07-19,RBI reference
USD,INR,82.2570,2026-07-22,RBI reference
USD,INR,81.6911,2026-07-25,RBI reference
USD,INR,81.1250,2026-07-28,RBI reference
USD,INR,81.2199,2026-07-31,RBI reference
USD,INR,81.3750,2026-08-03,RBI reference
USD,INR,80.6801,2026-08-06,RBI reference
USD,INR,81.0512,2026-08-09,RBI reference
USD,INR,81.2344,2026-08-12,RBI reference
USD,INR,81.1377,2026-08-15,RBI reference
USD,INR,80.5243,2026-08-18,RBI reference
USD,INR,80.7804,2026-08-21,RBI reference
USD,INR,81.1455,2026-08-24,RBI reference
USD,INR,80.3056,2026-08-27,RBI reference
USD,INR,80.2919,2026-08-30,RBI reference
USD,INR,80.0430,2026-09-02,RBI reference
USD,INR,80.2567,2026-09-05,RBI reference
USD,INR,79.6042,2026-09-08,RBI reference
