entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,order_id,order_receipt,method,dispute_id,parent_payment_id
pay_82400035,payment,0.00,2281.65,2281.65,INR,45.63,8.21,N,Y,2026-07-01 07:42:00,2026-07-03 11:00:00,setl_82400000,KKBKN260703363389,order_8240040,INV-2627-1041,card,,
pay_82400023,payment,0.00,4342.26,4342.26,INR,130.27,23.45,N,Y,2026-07-01 08:50:00,2026-07-03 11:00:00,setl_82400000,KKBKN260703363389,order_8240025,INV-2627-1026,emi,,
pay_82400092,payment,0.00,8189.34,8189.34,INR,0.00,0.00,N,Y,2026-07-01 22:07:00,2026-07-03 11:00:00,setl_82400000,KKBKN260703363389,order_8240098,INV-2627-1099,upi,,
pay_82400026,payment,0.00,1187.91,1187.91,INR,0.00,0.00,N,Y,2026-07-02 06:29:00,2026-07-04 11:00:00,setl_82400001,SBIN0260704589071,order_8240028,INV-2627-1029,upi,,
pay_82400117,payment,0.00,3844.19,3844.19,INR,0.00,0.00,N,Y,2026-07-02 06:36:00,2026-07-04 11:00:00,setl_82400001,SBIN0260704589071,order_8240124,INV-2627-1125,upi,,
pay_82400070,payment,0.00,2435.19,2435.19,INR,73.06,13.15,N,Y,2026-07-02 11:15:00,2026-07-04 11:00:00,setl_82400001,SBIN0260704589071,order_8240077,INV-2627-1078,emi,,
pay_82400075,payment,0.00,1852.74,1852.74,INR,27.79,5.00,N,Y,2026-07-02 14:19:00,2026-07-04 11:00:00,setl_82400001,SBIN0260704589071,order_8240082,INV-2627-1083,netbanking,,
pay_82400063,payment,0.00,3976.29,3976.29,INR,0.00,0.00,N,Y,2026-07-02 17:24:00,2026-07-04 11:00:00,setl_82400001,SBIN0260704589071,order_8240070,INV-2627-1071,upi,,
pay_82400002,payment,0.00,7644.58,7644.58,INR,0.00,0.00,N,Y,2026-07-02 20:53:00,2026-07-04 11:00:00,setl_82400001,SBIN0260704589071,order_8240002,INV-2627-1003,upi,,
pay_82400076,payment,0.00,1852.74,1852.74,INR,27.79,5.00,N,Y,2026-07-02 22:28:00,2026-07-04 11:00:00,setl_82400001,SBIN0260704589071,order_8240082,INV-2627-1083,netbanking,,
pay_82400067,payment,0.00,6111.41,6111.41,INR,122.23,22.00,N,Y,2026-07-03 10:09:00,2026-07-05 11:00:00,setl_82400002,ICICN260705675657,order_8240074,INV-2627-1075,card,,
pay_82400048,payment,0.00,9081.83,9081.83,INR,181.64,32.70,N,Y,2026-07-03 15:47:00,2026-07-05 11:00:00,setl_82400002,ICICN260705675657,order_8240054,INV-2627-1055,card,,
rfnd_82400002,refund,593.96,0.00,-593.96,INR,0.00,0.00,N,Y,2026-07-04 06:29:00,2026-07-06 11:00:00,setl_82400003,KKBKN260706272593,order_8240028,,upi,,pay_82400026
pay_82400064,payment,0.00,9904.92,9904.92,INR,198.10,35.66,N,Y,2026-07-04 08:29:00,2026-07-06 11:00:00,setl_82400003,KKBKN260706272593,order_8240071,INV-2627-1072,card,,
